BSc(ActuarSc) Examination Time Table for the First Semester of 2024-2025
(As at Nov 13, 2024)
Date 	Time 		Course Code 	Description 	Venue
Dec 7 SAT 	9:30 am - 11:30 am 		ECON2232 	Economics of human resources 	Rm 8 Library Ext.
				Economics of human resources 	Rm 9 Library Ext.
Dec 7 SAT 	2:30 pm - 4:30 pm 		GEOG1017 	Human geography in a globalizing world 	3/F, Multi-purpose Zone, Main Library
Dec 9 MON 	9:30 am - 11:30 am 		FINA2320 	Investments and portfolio analysis 	3/F, Multi-purpose Zone, Main Library
				Investments and portfolio analysis 	CPD-LG.07-10, Centennial Campus
Dec 9 MON 	9:30 am - 11:30 am 		PHYS1150 	Problem solving in physics 	3/F, Multi-purpose Zone, Main Library
Dec 9 MON 	2:30 pm - 4:30 pm 		COMP3330 	Interactive Mobile Application Design and Programming 	Loke Yew Hall
Dec 9 MON 	2:30 pm - 4:30 pm 		ECON1210 	Introductory microeconomics 	CPD-1.21 & CPD-1.24, Centennial Campus
				Introductory microeconomics 	CPD-2.16 & CPD-2.19, Centennial Campus
				Introductory microeconomics 	MWT1-MWT3 & MWT6-MWT7, Meng Wah Complex
				Introductory microeconomics 	Rm 1 Library Ext.
				Introductory microeconomics 	Rm 101 & 102, K.K. Leung Bldg
				Introductory microeconomics 	Rm 201 & 202, K.K. Leung Bldg
Dec 9 MON 	2:30 pm - 4:30 pm 		ECON2255 	The economic system of Hong Kong 	Rm 167 Main Bldg.
Dec 9 MON 	2:30 pm - 4:30 pm 		FINA3326 	Equity valuation and investment management 	Rm 217 Main Bldg.
				Equity valuation and investment management 	Rm 218 Main Bldg.
Dec 9 MON 	2:30 pm - 4:30 pm 		STAT3620 	Modern nonparametric statistics 	Rm 201 Main Bldg.
Dec 9 MON 	6:30 pm - 9:30 pm 		STAT3904 	Corporate finance for actuarial science 	Rm 4 Library Ext.
				Corporate finance for actuarial science 	Rm 5 Library Ext.
Dec 10 TUE 	9:30 am - 11:30 am 		ACCT1101 	Introduction to financial accounting 	CPD-LG.07-10, Centennial Campus
				Introduction to financial accounting 	CPD-LG.61 & CPD-LG.62, Centennial Campus
				Introduction to financial accounting 	Loke Yew Hall
				Introduction to financial accounting 	Rm 103 Main Bldg.
				Introduction to financial accounting 	Rm 105 Chong Yuet Ming Amenities Ctr.
				Introduction to financial accounting 	Rm 167 Main Bldg.
				Introduction to financial accounting 	Rm 217 Main Bldg.
				Introduction to financial accounting 	Rm 218 Main Bldg.
				Introduction to financial accounting 	Rm 237 Main Bldg.
Dec 10 TUE 	9:30 am - 12:30 pm 		COMP3278 	Introduction to database management systems 	Rm 3 Library Ext.
				Introduction to database management systems 	Rm 4 Library Ext.
				Introduction to database management systems 	Rm 5 Library Ext.
Dec 10 TUE 	9:30 am - 11:00 am 		ECON2210 	Intermediate microeconomics 	3/F, Multi-purpose Zone, Main Library
Dec 10 TUE 	2:30 pm - 4:30 pm 		CSCI9001 	Practical Chinese for Science Students 	Rm 3 Library Ext.
				Practical Chinese for Science Students 	Rm 4 Library Ext.
				Practical Chinese for Science Students 	Rm 5 Library Ext.
Dec 10 TUE 	2:30 pm - 4:30 pm 		FINA2330 	Financial markets and institutions 	Rm 6 Library Ext.
				Financial markets and institutions 	Rm 7 Library Ext.
				Financial markets and institutions 	Rm 8 Library Ext.
				Financial markets and institutions 	Rm 9 Library Ext.
Dec 10 TUE 	6:30 pm - 8:00 pm 		GEOG2120 	Introductory spatial analysis 	Rm 9 Library Ext.
